 American Society for Testing and Materials (ASTM)
 Solar Spectra: Standard Air Mass Zero
 2000 ASTM Standard Extraterrestrial Spectrum, Reference E-490-00
 Solar constant = 1366.1 [W/m2]
 Data obtained August 2011 from
 http://rredc.nrel.gov/solar/spectra/am0/ASTM2000.html

 No. rows: 1697
 Wavelength[micron]  Irradiance[W/m2/micron]
     .4075           1628.
     .4085           1735.
     .4095           1715.
     .4105           1532.
     .4115           1817.
     .4125           1789
     .4135           1756.
     .4145           1737.
     .4155           1734.
     .4165           1842.
     .4175           1665.
     .4185           1684.
     .4195           1701.
     .4205           1757.
     .4215           1797.
     .4225           1582.
     .4235           1711.
     .4245           1767.
     .4255           1695.
     .4265           1698.
     .4275           1569.
     .4285           1587.
     .4295           1475.
     .4305           1135.
     .4315           1686.
     .4325           1646.
     .4335           1731.
     .4345           1670.
     .4355           1723.
     .4365           1929.
     .4375           1806.
     .4385           1567.
     .4395           1825.
     .4405           1713.
     .4415           1931.
     .4425           1980.
     .4435           1909.
     .4445           1973.
     .4455           1821.
     .4465           1891.
     .4475           2077.
     .4485           1973.
     .4495           2027.
     .4505           2144.
     .4515           2109.
     .4525           1941.
     .4535           1970.
     .4545           1979.
     .4555           2034.
     .4565           2077.
     .4575           2100.
     .4585           1971.
     .4595           2009.
     .4605           2040.
     .4615           2055.
     .4625           2104.
     .4635           2040.
     .4645           1976.
     .4655           2042.
     .4665           1921.
     .4675           2015.
     .4685           1994.
     .4695           1990.
     .4705           1877.
     .4715           2018.
     .4725           2041.
     .4735           1991.
     .4745           2051.
     .4755           2016.
     .4765           1956.
     .4775           2075.
     .4785           2009.
     .4795           2076.
     .4805           2035.
     .4815           2090.
     .4825           2023.
     .4835           2019.
     .4845           1969.
     .4855           1830.
     .4865           1625.
     .4875           1830.
     .4885           1914.
     .4895           1960.
     .4905           2007.
     .4915           1896.
     .4925           1896.
     .4935           1888.
     .4945           2058.
     .4955           1926.
     .4965           2017.
     .4975           2018.
     .4985           1866.
     .4995           1970.
     .5005           1857.
     .5015           1812.
     .5025           1894.
     .5035           1934.
     .5045           1869.
     .5055           1993.
     .5065           1961.
     .5075           1906.
     .5085           1919.
     .5095           1916.
     .5105           1947.
     .5115           1997.
     .5125           1867.
     .5135           1861.
     .5145           1874.
     .5155           1900.
     .5165           1669.
     .5175           1726.
     .5185           1654.
     .5195           1828.
     .5205           1831.
     .5215           1906.
     .5225           1823.
     .5235           1894.
     .5245           1958.
     .5255           1930.
     .5265           1674.
     .5275           1828.
     .5285           1897.
     .5295           1918.
     .5305           1952.
     .5315           1963.
     .5325           1770.
     .5335           1923.
     .5345           1858.
     .5355           1990.
     .5365           1871.
     .5375           1882.
     .5385           1904.
     .5395           1832.
     .5405           1769.
     .5415           1881.
     .5425           1825.
     .5435           1879.
     .5445           1879.
     .5455           1901.
     .5465           1879.
     .5475           1833.
     .5485           1863.
     .5495           1895.
     .5505           1862.
     .5515           1871.
     .5525           1846.
     .5535           1882.
     .5545           1898.
     .5555           1897.
     .5565           1821.
     .5575           1846.
     .5585           1787.
     .5595           1808.
     .5605           1843.
     .5615           1824.
     .5625           1850.
     .5635           1861.
     .5645           1854.
     .5655           1798.
     .5665           1829.
     .5675           1887.
     .5685           1810.
     .5695           1860.
     .5705           1769.
     .5715           1823.
     .5725           1892.
     .5735           1876.
     .5745           1867.
     .5755           1830.
     .5765           1846.
     .5775           1857.
     .5785           1783.
     .5795           1828.
     .5805           1838.
     .5815           1853.
     .5825           1873.
     .5835           1857.
     .5845           1860.
     .5855           1783.
     .5865           1830.
     .5875           1848.
     .5885           1750.
     .5895           1612.
     .5905           1813.
     .5915           1787.
     .5925           1808.
     .5935           1796.
     .5945           1773.
     .5955           1782.
     .5965           1805.
     .5975           1780.
     .5985           1757.
     .5995           1774.
     .6005           1746.
     .6015           1751.
     .6025           1719.
     .6035           1787.
     .6045           1776.
     .6055           1763.
     .6065           1759.
     .6075           1757.
     .6085           1743.
     .6095           1744.
     .6105           1703.
     .6115           1746.
     .6125           1705.
     .6135           1683.
     .6145           1713.
     .6155           1713.
     .6165           1609.
     .6175           1707.
     .6185           1724.
     .6195           1707.
     .6205           1734.
     .6215           1690.
     .6225           1713.
     .6235           1666.
     .6245           1656.
     .6255           1632.
     .6265           1697.
     .6275           1697.
     .6285           1697.
     .6295           1677.
     .631            1639.
     .633            1651.
     .635            1656.
     .637            1654.
     .639            1651.
     .641            1614.
     .643            1621.
     .645            1627.
     .647            1603.
     .649            1558.
     .651            1606.
     .653            1599.
     .655            1532.
     .657            1384.
     .659            1549.
     .661            1571.
     .663            1555.
     .665            1560.
     .667            1535.
     .669            1546.
     .671            1516.
     .673            1521.
     .675            1510.
     .677            1508.
     .679            1498.
     .681            1492.
     .683            1479.
     .685            1455.
     .687            1467.
     .689            1461.
     .691            1448.
     .693            1448.
     .695            1436.
     .697            1416.
     .699            1425.
     .701            1386.
     .703            1388.
     .705            1415.
     .707            1400.
     .709            1384.
     .711            1385.
     .713            1373.
     .715            1366.
     .717            1354.
     .719            1328.
     .721            1331.
     .723            1348.
     .725            1350.
     .727            1346.
     .729            1319.
     .731            1326.
     .733            1318.
     .735            1309.
     .737            1307.
     .739            1278.
     .741            1258.
     .743            1286.
     .745            1279.
     .747            1283.
     .749            1270.
     .751            1262.
     .753            1259.
     .755            1255.
     .757            1248.
     .759            1240.
     .761            1237.
     .763            1241.
     .765            1221.
     .767            1185.
     .769            1203.
     .771            1204.
     .773            1208.
     .775            1188.
     .777            1196.
     .779            1187.
     .781            1187.
     .783            1176.
     .785            1180.
     .787            1177.
     .789            1174.
     .791            1158.
     .793            1143.
     .795            1134.
     .797            1152.
     .799            1135.
     .801            1142.
     .803            1129.
     .805            1115.
     .807            1120.
     .809            1095.
     .811            1114.
     .813            1115.
     .815            1107.
     .817            1104.
     .819            1063.
     .821            1080.
     .823            1073.
     .825            1075.
     .826            1080.
     .828            1081.
     .830            1063.
     .832            1051.
     .834            1041.
     .836            1052.
     .838            1044.
     .840            1040.
     .842            1036.
     .844            1024.
     .846            1028.
     .848            1023.
     .850             966.0
     .852             996.1
     .854             878.0
     .856             975.5
     .858            1005.
     .860             996.9
     .862             994.9
     .864             999.3
     .866             886.2
     .868             939.5
     .870             974.7
     .872             983.3
     .874             971.3
     .876             964.0
     .878             974.9
     .880             955.4
     .882             951.1
     .884             957.9
     .886             938.3
     .888             944.3
     .890             953.0
     .892             939.4
     .894             933.2
     .896             938.7
     .898             933.9
     .900             915.8
     .902             891.6
     .904             928.5
     .906             917.6
     .908             902.5
     .910             891.6
     .912             896.7
     .914             907.1
     .916             900.4
     .918             895.1
     .920             890.8
     .922             863.0
     .924             858.5
     .926             861.2
     .928             876.9
     .930             867.7
     .932             865.1
     .934             864.1
     .936             854.7
     .938             858.0
     .940             843.8
     .942             825.0
     .944             832.4
     .946             837.5
     .948             840.7
     .950             836.9
     .952             831.7
     .954             808.0
     .956             808.2
     .958             818.8
     .960             815.1
     .962             808.9
     .964             801.3
     .966             794.7
     .968             796.9
     .970             795.9
     .972             793.6
     .974             781.5
     .976             782.5
     .978             777.9
     .980             774.6
     .982             776.4
     .984             769.8
     .986             766.1
     .988             761.5
     .990             754.1
     .992             756.7
     .994             755.6
     .996             752.5
     .998             751.0
    1.000             747.9
    1.002             746.9
    1.004             726.1
    1.006             713.6
    1.008             733.5
    1.010             731.3
    1.012             726.2
    1.014             721.0
    1.016             713.9
    1.018             710.7
    1.020             704.1
    1.022             702.1
    1.024             705.4
    1.026             702.7
    1.028             698.9
    1.030             693.7
    1.032             690.5
    1.034             681.7
    1.036             684.0
    1.038             677.2
    1.040             676.1
    1.042             674.6
    1.044             671.4
    1.046             660.0
    1.048             664.4
    1.050             662.2
    1.052             658.6
    1.054             654.9
    1.056             655.7
    1.058             645.1
    1.060             641.5
    1.062             643.8
    1.064             645.9
    1.066             639.5
    1.068             631.7
    1.070             624.1
    1.072             632.6
    1.074             627.6
    1.076             628.0
    1.078             627.2
    1.080             624.7
    1.082             609.9
    1.084             618.0
    1.086             620.8
    1.088             610.3
    1.090             619.9
    1.092             615.9
    1.094             584.9
    1.096             598.3
    1.098             596.1
    1.100             604.2
    1.102             593.2
    1.104             597.4
    1.106             594.5
    1.108             591.6
    1.110             590.6
    1.112             584.3
    1.114             584.4
    1.116             583.1
    1.118             581.5
    1.120             574.1
    1.122             579.6
    1.124             576.9
    1.126             565.5
    1.128             570.0
    1.130             565.3
    1.132             567.8
    1.134             563.8
    1.136             565.8
    1.138             556.9
    1.140             553.0
    1.142             553.1
    1.144             551.4
    1.146             554.8
    1.148             552.5
    1.150             548.9
    1.152             545.8
    1.154             547.9
    1.156             545.5
    1.158             543.5
    1.160             532.0
    1.162             532.5
    1.164             533.2
    1.166             530.3
    1.168             531.2
    1.170             527.6
    1.172             531.5
    1.174             527.3
    1.176             518.4
    1.178             519.0
    1.180             523.9
    1.182             515.9
    1.184             510.3
    1.186             518.7
    1.188             507.5
    1.190             508.5
    1.192             516.1
    1.194             514.5
    1.196             508.4
    1.198             494.3
    1.200             500.3
    1.202             506.8
    1.204             494.8
    1.206             503.9
    1.208             489.0
    1.210             488.2
    1.212             493.3
    1.214             494.2
    1.216             493.0
    1.218             489.7
    1.220             487.5
    1.222             485.4
    1.224             484.6
    1.226             481.7
    1.228             477.1
    1.230             479.2
    1.232             475.0
    1.234             472.9
    1.236             471.9
    1.238             470.3
    1.240             465.3
    1.242             464.2
    1.244             461.9
    1.246             463.5
    1.248             463.3
    1.250             462.4
    1.252             457.1
    1.254             457.4
    1.256             455.1
    1.258             453.3
    1.260             453.0
    1.262             449.7
    1.264             447.8
    1.266             446.7
    1.268             441.7
    1.270             445.3
    1.272             445.2
    1.274             443.1
    1.276             445.1
    1.278             444.0
    1.280             435.6
    1.282             401.4
    1.284             425.9
    1.286             432.8
    1.288             431.4
    1.290             425.5
    1.292             425.4
    1.294             422.3
    1.296             422.4
    1.298             418.4
    1.300             418.6
    1.302             413.9
    1.304             411.1
    1.306             413.6
    1.308             412.3
    1.310             410.6
    1.312             403.3
    1.314             402.2
    1.316             397.9
    1.318             401.7
    1.320             401.6
    1.322             398.6
    1.324             398.1
    1.326             394.9
    1.328             390.8
    1.330             387.8
    1.332             386.3
    1.334             389.2
    1.336             386.6
    1.338             383.2
    1.340             379.0
    1.342             380.5
    1.344             379.8
    1.346             377.2
    1.348             376.6
    1.350             372.4
    1.352             374.2
    1.354             372.2
    1.356             367.5
    1.358             368.8
    1.360             367.3
    1.362             367.7
    1.364             365.7
    1.366             365.7
    1.368             362.8
    1.370             359.9
    1.372             362.1
    1.374             361.1
    1.376             356.1
    1.378             358.0
    1.380             357.9
    1.382             354.5
    1.384             354.7
    1.386             353.2
    1.388             353.0
    1.390             350.6
    1.392             351.3
    1.394             348.8
    1.396             348.7
    1.398             349.2
    1.400             342.7
    1.402             343.9
    1.404             342.8
    1.406             343.1
    1.408             342.7
    1.410             341.8
    1.412             334.8
    1.414             337.7
    1.416             338.5
    1.418             338.6
    1.420             335.7
    1.422             331.5
    1.424             331.1
    1.426             328.1
    1.428             328.5
    1.430             325.7
    1.432             330.0
    1.434             328.4
    1.436             328.5
    1.438             328.3
    1.440             318.8
    1.442             318.6
    1.444             319.7
    1.446             321.6
    1.448             321.6
    1.450             318.7
    1.452             315.4
    1.454             314.3
    1.456             313.1
    1.458             316.7
    1.460             315.6
    1.462             312.1
    1.464             310.5
    1.466             310.8
    1.468             311.4
    1.470             310.2
    1.472             307.3
    1.474             303.4
    1.476             304.8
    1.478             304.4
    1.480             306.8
    1.482             304.4
    1.484             303.9
    1.486             303.3
    1.488             285.5
    1.490             301.5
    1.492             301.8
    1.494             303.3
    1.496             297.2
    1.498             299.4
    1.500             301.1
    1.502             292.4
    1.504             279.9
    1.506             284.8
    1.508             291.9
    1.510             294.7
    1.512             291.3
    1.514             288.3
    1.516             288.2
    1.518             288.4
    1.520             286.6
    1.522             282.4
    1.524             283.5
    1.526             284.6
    1.528             284.6
    1.530             276.5
    1.532             282.3
    1.534             278.4
    1.536             280.6
    1.538             277.3
    1.540             273.0
    1.542             275.3
    1.544             277.8
    1.546             277.2
    1.548             271.1
    1.550             271.3
    1.552             273.1
    1.554             267.6
    1.556             267.1
    1.558             268.9
    1.560             268.3
    1.562             269.7
    1.564             266.9
    1.566             265.4
    1.568             263.3
    1.570             264.5
    1.572             267.3
    1.574             261.0
    1.576             253.6
    1.578             254.7
    1.580             265.0
    1.582             259.0
    1.584             259.1
    1.586             259.9
    1.588             249.0
    1.590             240.5
    1.592             252.6
    1.594             258.3
    1.596             250.6
    1.598             254.5
    1.600             251.2
    1.602             248.9
    1.604             249.7
    1.606             247.7
    1.608             249.1
    1.610             240.0
    1.612             243.0
    1.614             244.9
    1.616             237.4
    1.618             242.3
    1.620             236.9
    1.622             238.3
    1.624             241.6
    1.626             240.2
    1.628             241.8
    1.630             239.3
    1.632             238.7
    1.634             235.9
    1.636             235.7
    1.638             227.4
    1.640             226.2
    1.642             226.6
    1.644             227.8
    1.646             229.4
    1.648             229.2
    1.650             227.2
    1.652             226.8
    1.654             226.2
    1.656             226.0
    1.658             225.2
    1.660             224.5
    1.662             224.6
    1.664             222.7
    1.666             221.2
    1.668             219.3
    1.670             222.5
    1.672             217.3
    1.674             219.3
    1.676             216.1
    1.678             216.8
    1.680             208.0
    1.682             205.4
    1.684             212.9
    1.686             213.1
    1.688             212.0
    1.690             210.5
    1.692             212.3
    1.694             211.2
    1.696             210.0
    1.698             208.9
    1.700             206.3
    1.702             204.7
    1.704             205.2
    1.706             205.0
    1.708             201.7
    1.710             201.3
    1.712             198.2
    1.714             203.7
    1.716             202.2
    1.718             201.0
    1.720             199.3
    1.722             197.5
    1.724             195.4
    1.726             198.2
    1.728             197.1
    1.730             198.4
    1.732             193.6
    1.734             187.4
    1.736             182.7
    1.738             186.3
    1.740             190.5
    1.742             190.2
    1.744             190.7
    1.746             186.7
    1.748             187.2
    1.750             185.8
    1.752             185.0
    1.754             185.6
    1.756             184.9
    1.758             184.3
    1.760             183.1
    1.762             179.3
    1.764             180.7
    1.766             181.7
    1.768             180.2
    1.770             179.1
    1.772             179.4
    1.774             179.2
    1.776             176.3
    1.778             174.7
    1.780             175.6
    1.782             174.7
    1.784             173.5
    1.786             173.9
    1.788             174.7
    1.790             173.3
    1.792             172.1
    1.794             170.9
    1.796             170.6
    1.798             170.3
    1.800             169.9
    1.802             167.2
    1.804             168.8
    1.806             168.8
    1.808             168.5
    1.810             168.6
    1.812             167.5
    1.814             165.8
    1.816             160.5
    1.818             152.0
    1.820             159.6
    1.822             159.8
    1.824             162.4
    1.826             162.8
    1.828             161.1
    1.830             160.6
    1.832             159.3
    1.834             158.5
    1.836             158.1
    1.838             156.2
    1.840             156.2
    1.842             154.0
    1.844             154.1
    1.846             153.5
    1.848             151.0
    1.850             154.6
    1.852             153.4
    1.854             152.5
    1.856             150.9
    1.858             152.5
    1.860             150.3
    1.862             150.4
    1.864             150.9
    1.866             149.4
    1.868             149.2
    1.870             150.8
    1.872             147.3
    1.874             140.1
    1.876             129.9
    1.878             144.1
    1.880             146.2
    1.882             147.4
    1.884             146.4
    1.886             143.9
    1.888             145.3
    1.890             142.4
    1.892             140.8
    1.894             139.6
    1.896             137.3
    1.898             139.0
    1.900             139.7
    1.902             140.9
    1.904             138.6
    1.906             139.0
    1.908             137.7
    1.910             137.8
    1.912             135.4
    1.914             137.0
    1.916             136.0
    1.918             135.3
    1.920             133.3
    1.922             135.0
    1.924             134.1
    1.926             134.4
    1.928             132.2
    1.930             131.3
    1.932             130.8
    1.934             132.0
    1.936             132.8
    1.938             132.1
    1.940             129.9
    1.942             129.4
    1.944             120.3
    1.946             119.2
    1.948             127.1
    1.950             126.1
    1.952             125.5
    1.954             128.6
    1.956             127.6
    1.958             127.1
    1.960             126.1
    1.962             124.0
    1.964             122.2
    1.966             123.1
    1.968             124.0
    1.970             123.9
    1.972             121.3
    1.974             120.8
    1.976             122.4
    1.978             119.4
    1.980             119.6
    1.982             120.5
    1.984             119.7
    1.986             117.8
    1.988             119.5
    1.990             119.8
    1.992             118.0
    1.994             116.2
    1.996             117.3
    1.998             115.9
    2.000             117.0
    2.002             116.1
    2.004             114.8
    2.006             114.7
    2.008             115.4
    2.010             114.9
    2.012             114.5
    2.014             113.8
    2.016             113.7
    2.018             113.4
    2.020             111.6
    2.022             110.7
    2.024             111.6
    2.026             111.5
    2.028             110.7
    2.030             108.6
    2.032             109.8
    2.034             109.2
    2.036             108.3
    2.038             106.4
    2.040             107.8
    2.042             107.6
    2.044             107.6
    2.046             107.1
    2.048             106.3
    2.050             105.9
    2.052             104.7
    2.054             104.6
    2.056             104.6
    2.058             104.0
    2.060             102.8
    2.062             102.3
    2.064             100.5
    2.066             102.5
    2.068             101.9
    2.070             100.3
    2.072             100.4
    2.074             100.9
    2.076             100.6
    2.078             100.0
    2.080              98.78
    2.082              98.64
    2.084              97.72
    2.086              98.52
    2.088              98.35
    2.090              97.88
    2.092              95.67
    2.094              95.93
    2.096              95.80
    2.098              96.20
    2.100              96.06
    2.102              95.77
    2.104              95.59
    2.106              95.74
    2.108              95.13
    2.110              93.96
    2.112              94.52
    2.114              94.36
    2.116              93.31
    2.118              93.11
    2.120              92.75
    2.122              92.75
    2.124              91.89
    2.126              92.08
    2.128              92.25
    2.130              92.09
    2.132              92.10
    2.134              91.55
    2.136              90.12
    2.138              91.10
    2.140              90.83
    2.142              90.64
    2.144              90.06
    2.146              89.39
    2.148              89.79
    2.150              89.57
    2.152              89.13
    2.154              88.78
    2.156              88.74
    2.158              88.42
    2.160              87.81
    2.162              86.86
    2.164              84.56
    2.166              78.49
    2.168              83.00
    2.170              85.57
    2.172              85.91
    2.174              85.92
    2.176              85.32
    2.178              84.25
    2.180              84.97
    2.182              84.25
    2.184              84.57
    2.186              84.65
    2.188              82.77
    2.190              83.04
    2.192              83.77
    2.194              83.49
    2.196              83.18
    2.198              82.99
    2.200              82.65
    2.202              82.30
    2.204              82.11
    2.206              79.66
    2.208              79.66
    2.210              80.80
    2.212              81.05
    2.214              80.72
    2.216              79.94
    2.218              79.70
    2.220              79.97
    2.222              79.62
    2.224              79.26
    2.226              78.11
    2.228              78.26
    2.230              78.31
    2.232              78.15
    2.234              78.02
    2.236              77.58
    2.238              76.48
    2.240              76.39
    2.242              76.42
    2.244              76.24
    2.246              76.12
    2.248              75.20
    2.250              75.41
    2.252              75.12
    2.254              74.02
    2.256              74.22
    2.258              74.41
    2.260              74.21
    2.262              72.99
    2.264              73.29
    2.266              73.15
    2.268              73.27
    2.270              72.97
    2.272              72.77
    2.274              72.52
    2.276              72.39
    2.278              72.42
    2.280              71.65
    2.282              70.07
    2.284              71.25
    2.286              71.24
    2.288              71.27
    2.290              71.10
    2.292              70.67
    2.294              69.20
    2.296              69.08
    2.298              69.19
    2.300              69.53
    2.302              69.55
    2.304              69.31
    2.306              69.23
    2.308              69.01
    2.310              68.70
    2.312              68.67
    2.314              68.26
    2.316              67.79
    2.318              67.45
    2.320              67.68
    2.322              66.75
    2.324              65.36
    2.326              65.59
    2.328              66.29
    2.330              66.16
    2.332              65.84
    2.334              65.71
    2.336              65.36
    2.338              64.96
    2.340              65.20
    2.342              65.39
    2.344              65.09
    2.346              64.86
    2.348              64.72
    2.350              64.53
    2.352              62.89
    2.354              62.39
    2.356              62.82
    2.358              62.66
    2.360              63.08
    2.362              63.05
    2.364              62.95
    2.366              62.84
    2.368              62.63
    2.370              62.11
    2.372              62.07
    2.374              60.66
    2.376              61.64
    2.378              61.92
    2.380              61.72
    2.382              60.98
    2.384              58.85
    2.386              59.08
    2.388              60.04
    2.390              60.29
    2.392              60.08
    2.394              60.03
    2.396              59.96
    2.398              59.89
    2.400              59.44
    2.402              59.65
    2.404              59.45
    2.406              59.19
    2.408              59.15
    2.410              59.02
    2.412              58.94
    2.414              57.34
    2.416              55.99
    2.418              57.48
    2.420              57.70
    2.422              57.67
    2.424              57.26
    2.426              57.17
    2.428              57.12
    2.430              57.12
    2.432              57.02
    2.434              56.41
    2.436              56.18
    2.438              55.99
    2.440              56.39
    2.442              56.17
    2.444              56.03
    2.446              54.98
    2.448              54.57
    2.450              54.62
    2.452              54.32
    2.454              54.55
    2.456              53.70
    2.458              53.92
    2.460              54.57
    2.462              54.42
    2.464              54.35
    2.466              54.05
    2.468              53.90
    2.470              52.85
    2.472              53.30
    2.474              53.13
    2.476              53.43
    2.478              53.03
    2.480              51.77
    2.482              51.40
    2.484              52.19
    2.486              51.60
    2.488              51.69
    2.490              52.25
    2.492              51.98
    2.494              51.75
    2.496              51.52
    2.498              51.54
    2.50               51.55
    2.52               49.84
    2.54               48.14
    2.56               46.72
    2.58               45.50
    2.60               44.57
    2.62               43.05
    2.64               42.11
    2.66               40.79
    2.68               39.68
    2.70               38.67
    2.72               37.63
    2.74               36.63
    2.76               35.46
    2.78               34.68
    2.80               33.85
    2.82               32.97
    2.84               32.09
    2.86               31.19
    2.88               30.32
    2.90               29.69
    2.92               28.90
    2.94               28.17
    2.96               27.50
    2.98               26.82
    3.00               26.12
    3.02               25.47
    3.04               24.65
    3.06               24.22
    3.08               23.64
    3.10               23.06
    3.12               22.46
    3.14               21.98
    3.16               21.44
    3.18               20.96
    3.20               20.48
    3.22               20.00
    3.24               19.51
    3.26               19.07
    3.28               18.58
    3.30               18.02
    3.32               17.68
    3.34               17.37
    3.36               16.97
    3.38               16.59
    3.40               16.15
    3.42               15.84
    3.44               15.54
    3.46               15.20
    3.48               14.86
    3.50               14.56
    3.52               14.25
    3.54               13.93
    3.56               13.62
    3.58               13.34
    3.60               13.07
    3.62               12.81
    3.64               12.51
    3.66               12.22
    3.68               11.93
    3.70               11.62
    3.72               11.45
    3.74               11.08
    3.76               10.96
    3.78               10.78
    3.80               10.57
    3.82               10.38
    3.84               10.19
    3.86                9.983
    3.88                9.782
    3.90                9.599
    3.92                9.427
    3.94                9.233
    3.96                9.032
    3.98                8.857
    4.00                8.669
    4.02                8.557
    4.04                8.385
    4.06                8.217
    4.08                8.054
    4.10                7.894
    4.12                7.739
    4.14                7.587
    4.16                7.439
    4.18                7.294
    4.20                7.153
    4.22                7.015
    4.24                6.881
    4.26                6.749
    4.28                6.621
