  Velocity data for Jupiter's Great Red Spot.  The data correspond to
  Figure 2 of Dowling and Ingersoll (1988, J. Atmos. Sci. 45, 1380-1396).
  Data have been combined from both Voyager 1 and Voyager 2.
  The zero of longitude corresponds to System III on 5 July 1979.

     wlon     glat    u(m/s)    v(m/s)
    102.69   -17.53   -85.11    34.45
    100.33   -17.47   -16.66     9.31
    101.47   -18.11   -79.55    44.03
     95.52   -19.54   -35.36    10.06
     95.34   -20.23   -49.44    14.19
     94.58   -20.35   -31.46    13.21
     99.78   -17.07   -66.94    38.41
     98.05   -17.59   -72.90    32.77
     96.93   -18.58   -47.09    20.03
    100.78   -17.82   -76.23    42.44
     97.81   -19.80   -37.17    24.99
     97.61   -20.27   -31.27    24.65
     96.64   -21.04   -28.56    24.00
     98.41   -21.71   -11.51    31.48
     99.72   -20.55   -34.06    42.86
     98.48   -20.94   -24.58    36.78
     99.34   -20.07   -31.34    33.28
     94.61   -18.45   -69.41    17.79
     98.73   -17.18   -71.57    36.41
     95.44   -22.46    -1.86     5.00
     93.92   -24.64    25.42     1.06
     93.86   -24.19    22.27     2.77
     96.92   -24.56     5.61     7.72
     96.60   -22.75     7.12     1.66
     97.88   -22.50    -0.43    26.53
     94.64   -23.25     3.31     0.91
     98.35   -22.61     7.43    21.19
     93.61   -23.65     7.18    -2.18
    101.69   -30.02    21.52     1.51
    103.92   -29.51    44.78     7.02
    103.49   -28.77    46.39     7.16
    102.11   -28.82    43.90     6.92
    103.20   -29.60    40.88     5.24
    103.51   -30.18    26.31     3.14
    103.44   -30.77    11.65     2.15
    100.42   -28.24    27.96     3.73
    101.55   -26.72    77.54    31.74
    103.93   -27.11    96.30    25.32
    103.47   -27.42    92.61    24.24
    104.99   -27.58    99.49    15.80
    106.21   -27.82    97.16     9.85
    102.56   -27.17    83.31    26.92
    100.81   -26.63    76.03    22.80
    100.60   -27.36    54.62    14.90
    101.15   -28.39    30.41     6.62
    100.74   -25.97    56.66    32.62
     98.19   -24.70    31.64    15.23
     98.81   -25.26    42.64    20.84
     99.55   -25.62    40.31    26.23
     98.55   -26.40    49.72     5.79
     99.86   -27.36    46.85     8.90
     98.43   -28.34    43.69     5.22
     97.53   -28.08    36.72     6.82
     98.43   -29.14    45.80    13.28
     96.34   -25.77    41.83     1.57
     97.42   -27.17    43.38     1.95
    106.06   -28.73    56.34     9.80
    108.29   -29.30    31.97     1.17
    107.65   -29.01    38.12     4.38
    110.15   -29.52    27.69     1.44
    107.53   -28.13    94.69     2.72
    109.01   -29.45    27.11     4.69
    103.36   -28.25    49.94     8.69
    105.32   -27.74   102.27    13.73
    103.93   -27.56    94.03    22.94
    104.36   -27.06    94.59    23.51
    105.33   -27.20    99.70    15.22
    106.79   -27.42    97.46     9.47
    110.00   -28.24   100.31    -4.38
    109.66   -28.95    33.41     1.44
    110.84   -29.03    36.93    -1.63
    106.76   -28.74    53.16     6.15
    110.89   -28.00   113.32    -8.54
    113.60   -27.36    96.29   -11.97
    113.10   -27.90    93.63    -8.70
    113.55   -28.13    84.14    -6.14
    115.69   -28.30    62.30    -7.61
    116.70   -28.37    49.00   -13.45
    117.08   -28.33    48.17   -12.58
    117.22   -28.91    31.76    -9.35
    113.30   -29.02    31.93    -2.13
    114.60   -28.53    57.23    -6.12
    115.21   -27.68    84.11   -18.59
    115.81   -27.81    67.55   -11.01
    117.11   -27.18    72.59   -25.21
    117.90   -27.01    74.28   -26.82
    119.42   -27.95    74.12     1.97
    117.76   -28.26    48.41    -2.61
    118.25   -27.75    54.31   -10.50
    119.92   -24.92    34.46   -22.13
    118.89   -25.35    45.24   -29.53
    118.44   -26.18    61.65   -29.04
    116.24   -26.82    79.40   -30.30
    114.75   -27.41    88.51   -17.29
    119.74   -24.20    18.68   -23.61
    119.89   -23.43     9.08   -24.68
    119.95   -23.92    14.88   -23.49
    121.19   -27.68    41.39    -3.01
    122.08   -27.15    45.88    -1.84
    121.44   -27.02    49.35    -1.69
    120.10   -27.46    49.36   -10.62
    120.83   -27.25    48.11    -3.10
    122.38   -27.75    43.15    -1.95
    121.38   -26.33    51.32    -5.67
    120.88   -26.44    52.32    -9.81
    119.11   -26.44    51.18   -22.56
    121.39   -22.74     6.36   -13.50
    121.90   -22.84     5.98   -16.88
    121.48   -23.13     6.93   -15.93
    122.40   -22.65     2.76   -11.97
    123.26   -23.17     4.22    -5.89
    123.44   -24.03     9.73    -5.11
    120.81   -24.20    13.18   -13.38
    120.12   -22.11    -3.69   -23.58
    119.70   -20.18    -9.70   -21.80
    120.06   -20.09    -9.10   -21.72
    123.74   -22.00     0.56   -17.62
    123.39   -26.33    42.63    -1.40
    122.23   -24.53    27.49    -8.49
    122.15   -23.69     7.99    -9.88
    121.90   -24.33    19.28    -6.92
    121.54   -25.17    31.31   -10.18
    120.03   -25.25    31.68   -16.97
    121.17   -21.73    -8.53   -17.50
    122.03   -21.18   -24.47   -20.11
    124.17   -25.36    28.62    -2.93
    123.50   -25.31    21.07    -6.58
    125.80   -24.55    22.21    -1.91
    124.93   -24.72    27.08    -3.80
    125.06   -25.17    18.18     3.20
    126.09   -23.97    10.00     0.25
    124.87   -24.20    15.40    -2.28
    123.35   -24.68     8.77    -1.98
    125.11   -25.87    43.39    -3.09
    125.98   -25.09    35.66    -2.53
    126.47   -25.15    34.14    -0.88
    126.67   -25.70    41.27     0.13
    127.07   -25.53    43.58     0.87
    126.93   -24.51    17.86     0.38
    126.34   -23.49     6.06    -1.42
    124.69   -23.55     5.91    -2.27
    125.69   -23.47     2.52    -0.76
    125.09   -21.84   -15.75    -6.63
    124.11   -22.84    -2.32    -5.11
    124.18   -22.26   -20.58    -3.38
    122.05   -17.44   -26.20     0.23
    123.19   -17.55   -22.63    -6.76
    124.98   -19.22   -25.35   -11.53
    121.41   -19.16   -36.73   -15.90
    123.14   -21.86   -15.69   -14.00
    125.48   -22.35   -21.42    -3.88
    123.73   -19.58   -20.42   -10.60
    124.23   -19.73   -18.98   -20.60
    124.58   -18.66   -22.25    -5.77
    125.26   -17.29    -0.42     3.03
    125.53   -16.74     1.09     4.61
    126.23   -17.18     4.09    -0.65
    126.48   -16.63     9.07    -0.65
    121.86   -20.02   -46.07   -15.20
    122.34   -20.24   -40.36   -12.39
    121.44   -20.80   -42.44   -13.15
    121.66   -16.65   -50.84     9.48
    118.49   -16.44   -25.82   -12.62
    119.68   -15.55   -24.08   -23.28
    120.38   -17.72   -25.87   -14.81
    117.88   -17.95   -30.34   -11.54
    118.26   -19.40   -55.19   -44.66
    117.27   -18.66   -65.70   -38.03
    117.39   -18.22   -72.04   -41.43
    117.55   -18.89   -57.73   -40.93
    116.16   -18.20   -70.28   -33.87
    114.99   -17.86   -78.36   -30.89
    115.20   -14.99   -46.41   -23.16
    115.43   -15.53   -44.03   -11.70
    116.24   -14.99   -15.17    -3.43
    114.19   -15.66   -74.24   -22.11
    114.47   -17.64   -81.23   -23.58
    115.68   -17.46   -77.92   -29.44
    119.03   -19.02   -27.12   -18.14
    117.00   -15.95   -35.82   -15.31
    113.66   -16.28   -71.52   -22.95
    114.85   -16.56   -64.13   -28.44
    116.16   -16.93   -48.89   -27.25
    113.34   -17.22   -77.80   -16.06
    113.98   -17.04   -52.40    -8.58
    112.99   -17.42   -76.87   -15.19
    112.91   -16.27   -79.48   -16.22
    111.90   -16.11   -80.74   -14.50
    114.75   -15.52   -69.79   -20.77
    112.65   -15.45   -80.64   -24.52
    111.63   -15.01   -62.15   -12.56
    109.34   -14.10   -51.30    -1.22
    109.73   -16.08   -85.35    -1.52
    110.97   -16.09   -83.34    -7.66
    110.40   -14.65   -54.81    -6.96
    111.13   -15.12   -58.17    -6.43
    108.05   -13.51   -37.16     0.85
    109.48   -12.98   -11.96     0.46
    109.20   -15.49   -85.21     0.76
    106.72   -15.38   -45.32     1.98
    107.82   -15.72   -89.85     5.47
    108.31   -16.31   -84.33     2.06
    107.43   -16.28   -93.21     8.87
    112.46   -16.36   -80.80   -17.46
    112.11   -16.98   -79.66   -10.32
    102.23   -16.11   -52.75    21.41
    101.60   -16.53   -55.67    22.65
    103.26   -17.00   -72.79    20.62
    104.22   -16.02   -78.26    23.76
    104.57   -16.25   -87.79    21.84
    103.81   -17.20   -69.90    21.95
    105.44   -16.55   -59.32    12.74
    105.05   -16.43   -58.30    12.95
    104.97   -14.88   -48.33    15.23
    104.74   -15.05   -52.00    15.46
    103.96   -15.28   -42.45    10.81
    104.33   -15.49   -40.83     9.61
    100.22   -18.43   -66.96    41.81
    103.28   -15.62   -50.54    15.39
    106.82   -15.77   -90.98     8.83
     98.19   -18.24   -65.54    17.51
     97.47   -19.63   -29.52    15.58
     96.50   -20.36   -32.99    17.37
     95.94   -20.63   -32.71    15.76
    104.18   -24.08    36.42    14.02
    105.73   -21.34   -10.27    -0.34
    107.42   -20.80    -8.79     1.46
    103.76   -23.69    30.54    16.76
    100.50   -21.08   -16.55    44.56
    101.03   -21.44   -21.33    50.83
    100.51   -21.63   -17.72    57.44
    105.40   -20.25   -51.77     6.90
    100.78   -23.84    42.83    70.70
    101.66   -24.55    72.76    66.14
    105.34   -24.59    23.74     1.99
    109.17   -24.68    29.64    -1.75
    107.70   -25.32    49.40     6.22
    109.03   -25.26    46.27     0.36
    108.36   -19.61   -57.96     2.44
    109.11   -19.71   -49.84     0.02
    110.76   -19.28   -68.00    -1.75
    109.06   -19.15   -87.17    -0.01
    110.43   -22.49    -0.13     0.45
    110.06   -21.26     4.46    -0.23
    110.16   -21.65     4.88     1.90
    110.77   -21.34    11.46     0.53
    111.45   -21.43     5.13     1.60
    107.72   -19.80   -48.67    -3.58
    109.57   -21.86     0.35    -0.68
    109.88   -20.73   -19.14     0.61
    107.80   -21.48     4.96     1.38
    108.77   -21.34    11.03     2.46
    108.22   -21.48     5.86     2.95
    107.25   -21.16    -4.97     0.24
    106.24   -21.47     1.00    -7.30
    106.14   -22.93     2.99    -8.31
    109.97   -23.73    36.21     1.59
    109.58   -24.00    36.49    -1.38
    111.10   -21.82    -2.07    -0.54
    112.20   -22.28     5.41    -4.55
    110.51   -17.88  -114.90    -6.37
    110.65   -18.43  -107.00    -4.43
    111.79   -18.25   -95.30    -8.43
    112.58   -19.77   -57.92   -12.90
    112.15   -19.98   -54.69    -8.84
    111.68   -20.64   -27.22    -6.42
    110.62   -20.10   -48.48    -3.50
    112.49   -21.39     7.89    -4.12
    114.18   -22.28     2.12    -4.73
    114.66   -22.50     1.90    -2.09
    112.33   -24.16     0.55     3.08
    112.60   -23.37    -1.61     2.86
    111.82   -23.46     3.80    -0.51
    111.28   -24.11    -2.65     1.62
    113.10   -22.64    -0.43     2.98
    107.70   -22.19    -5.21     5.82
    108.50   -22.18     0.16    -1.33
    107.28   -23.81    -3.67    -0.76
    108.01   -24.06     9.24    -0.90
    111.66   -24.53     6.16     0.30
    113.20   -23.86     7.41    -3.98
    114.10   -23.55     0.01     1.55
    114.36   -24.10    16.84    -6.37
    114.89   -23.30     5.50   -15.15
    106.67   -22.23     1.33     0.26
    106.28   -23.70     9.06    -0.75
    115.09   -20.10   -66.42   -41.03
    112.30   -24.67    20.59    -3.85
    112.91   -24.52    18.13    -5.14
    109.88   -25.67    61.89     0.84
    111.48   -25.52    73.66   -11.87
    112.67   -24.94    54.99   -14.57
    106.67   -24.99    42.55     5.97
    108.63   -20.45   -30.57     3.56
    107.64   -20.39   -27.11    -0.81
    105.73   -20.58   -44.69     9.10
    106.28   -14.77   -45.76     6.00
    106.02   -14.18   -44.50     9.51
    101.79   -23.15    -7.87    25.81
    113.38   -20.15   -47.08   -14.64
    113.09   -19.84   -56.97   -12.50
    115.47   -21.29   -13.30   -16.63
    113.49   -21.88   -10.29    -5.03
    115.92   -22.37    -5.90   -16.03
    114.31   -20.59   -22.79   -15.08
    111.99   -18.93   -77.49   -17.76
    113.34   -18.71   -41.58   -18.40
    115.51   -19.22   -22.78    -4.48
    116.50   -21.07   -46.16   -36.77
    119.01   -20.19   -41.26   -38.67
    118.69   -21.14   -21.71   -36.42
    118.12   -20.15   -25.74   -25.31
    116.27   -23.10    -1.94    -7.19
    117.19   -23.36     4.47   -29.25
    115.41   -21.88   -21.38   -23.55
    118.71   -22.01    -1.87   -39.86
    119.11   -21.53   -10.91   -29.97
    119.04   -23.77     6.77   -13.63
    119.22   -22.32   -11.71   -17.70
    118.09   -25.08    18.80   -19.82
    115.58   -25.57    28.15   -10.25
    116.75   -24.76    11.79    -8.38
    117.14   -24.25    17.59   -16.07
    106.34   -19.95   -59.63    11.00
    105.22   -22.42     1.93    -2.80
    104.70   -22.54     2.38    -4.80
    105.46   -19.66   -30.32     3.43
    103.63   -19.59   -66.21    16.54
    103.43   -19.10   -80.21    29.67
    106.96   -21.73    -8.55     1.18
    106.02   -25.27    49.79     6.85
    102.50   -24.75    15.06    12.95
    102.98   -21.05   -36.07    26.65
    106.40   -17.03   -70.67    11.58
    107.28   -17.01   -61.80     4.66
    104.59   -17.43   -57.84    15.49
    124.34   -17.25    -9.99     7.42
    124.63   -17.16    -8.25     6.87
    123.90   -16.48   -27.01    10.21
    124.65   -20.94   -32.14   -10.14
    122.46   -20.80   -40.99   -13.86
    123.14   -19.86   -10.20    -5.45
    122.89   -17.26   -26.64    -1.55
    122.89   -16.09   -35.13     3.03
    121.85   -15.88   -28.98     5.47
    125.88   -15.22    -5.10    12.34
    125.67   -15.77    -0.75    15.41
    124.96   -15.85    -3.07    12.62
    126.53   -15.27    -1.59     0.33
    122.00   -18.39   -15.08     6.97
    123.33   -18.88   -17.34    -5.11
    121.48   -17.82   -17.22     1.75
    119.95   -14.34    -9.43   -13.23
    119.29   -14.95   -15.30   -21.78
    120.66   -16.09   -33.99   -10.74
    120.87   -16.70   -44.97    -5.73
    120.62   -12.56    27.54     4.52
    119.09   -13.14     4.74   -15.90
    119.94   -13.66     7.75   -13.72
    117.53   -12.80    -8.98     2.82
    118.07   -13.16    -9.96    -9.30
    118.91   -12.00    15.07    -8.79
    119.50   -12.16    16.93    -5.68
    121.63   -13.95     7.70    -0.83
    121.09   -13.49    13.93     6.01
    121.23   -13.10    21.15     5.07
    122.09   -13.07    34.18    -0.97
    120.04   -16.37   -39.73   -15.65
    120.12   -17.03   -32.29    -9.15
    117.57   -14.36   -26.80   -19.99
    116.53   -13.83   -24.75    -6.45
    116.98   -14.11   -15.36    -9.52
    112.93   -12.56   -26.34   -14.32
    113.88   -14.81   -25.46   -10.80
    113.37   -14.83   -22.20    -7.31
    113.48   -14.36   -34.50   -10.92
    113.56   -13.81   -17.49    -9.61
    114.87   -14.25   -25.72    -8.93
    115.81   -13.68   -20.22    -6.94
    115.67   -12.39   -45.10   -10.91
    116.93   -16.44   -46.68   -20.96
    118.41   -16.90   -30.10   -15.67
    119.86   -18.38   -28.06    -9.01
    116.36   -11.61    26.58     8.24
    124.25   -26.85    39.21     2.69
    123.48   -27.86    43.22     3.11
    123.14   -27.00    42.26    -0.26
    121.02   -28.93    16.01   -11.68
    127.47   -26.38    45.79    -1.01
    124.97   -26.39    43.99     0.54
    122.17   -26.54    48.05    -5.56
    127.61   -25.00    31.30    -2.60
    118.71   -28.43    40.76    -3.30
    119.47   -27.40    45.84    -5.25
    119.38   -26.60    54.02   -23.28
    123.82   -28.74    34.20     0.49
    121.48   -28.35    17.61    -3.45
    122.49   -25.46    33.96    -4.87
    121.61   -25.82    30.98    -5.58
    117.78   -29.07    17.88    -4.41
    121.73   -27.60    43.02    -4.76
    113.44   -28.51    67.02    -3.28
    112.06   -28.60    64.65    -2.18
    110.60   -28.63    71.22    -1.06
    113.86   -28.95    32.02    -4.66
    114.37   -29.23    41.25     2.85
    114.63   -28.33    67.01    -8.21
    115.61   -29.33    23.30    -6.50
    113.63   -25.49    67.10   -15.09
    110.66   -26.63    40.51     1.21
    111.48   -26.54    44.51    -1.28
    109.78   -21.65    -0.16    -1.30
    110.29   -21.70     5.06     2.10
    110.19   -22.08     1.56    -1.45
    110.67   -22.61     3.72    -2.91
    110.37   -22.74     1.92     0.65
    109.43   -24.38    24.06    -1.64
    109.38   -24.57    28.09    -3.18
    109.88   -23.75    33.98    -1.07
    110.32   -24.01    33.80     0.07
    109.80   -24.09    33.80     2.50
    110.09   -24.33    28.24    -2.85
    110.81   -25.12    29.21    -0.06
    107.93   -25.02    46.45     5.02
    107.69   -25.34    47.57     4.88
    109.05   -25.25    41.89     0.92
    109.17   -24.66    25.50    -3.51
    107.83   -24.39    -8.50     3.29
    108.29   -24.22    -3.29    -0.29
    108.60   -24.13    -0.53    -3.51
    108.17   -23.84     1.99    -0.72
    107.29   -23.73    -0.43    -0.22
    107.06   -23.57    -1.83     1.27
    107.32   -23.33     0.90    -2.29
    107.51   -23.48     0.00    -3.51
    107.77   -23.69     3.98    -0.25
    109.19   -21.77     3.67    -0.69
    109.51   -22.00     1.28    -2.33
    108.26   -29.34    30.78    -1.23
    108.60   -29.14    36.72     4.98
    103.53   -27.34    94.05    22.79
    104.24   -27.09    93.57    22.44
    103.94   -27.52    95.75    23.58
    103.73   -28.41    46.07     8.26
    103.47   -28.85    46.38     7.32
    104.86   -27.52    98.53    19.61
    105.36   -27.67   100.63    12.92
    105.30   -27.20   100.75    16.91
    102.69   -27.20    79.43    22.35
    101.52   -26.65    73.48    36.96
    102.27   -26.11    69.18    39.89
    102.45   -26.31    73.81    34.15
    106.42   -27.92   101.28    11.33
    105.93   -27.73   103.12    13.24
    106.74   -27.44   101.96     8.87
    107.22   -27.74   101.66     7.20
    107.46   -28.14    93.59     5.38
    106.13   -27.19    96.35    12.46
    109.40   -26.47    81.88     2.91
    109.27   -25.84    97.19   -11.53
    110.20   -25.77    89.54    -7.02
    109.76   -26.98   123.67     1.88
    109.44   -27.21   124.09     1.05
    107.19   -27.36    98.01     7.32
    106.65   -26.90   119.98    13.28
    108.92   -27.63   106.13    -0.63
    108.89   -27.85   107.88     1.19
    109.20   -27.86   107.46     2.51
    111.11   -27.07   124.50    -6.47
    111.46   -25.51    76.26   -10.18
    111.78   -25.47    73.24   -11.40
    111.68   -23.66    -4.51     2.82
    112.15   -23.66    -2.30     0.22
    112.24   -24.13    -0.56     1.95
    111.59   -24.56    15.42    -6.99
    113.12   -25.68    72.69   -14.30
    113.72   -25.44    66.37   -15.48
    112.70   -25.23    77.91   -19.61
    112.31   -26.64    50.75    -9.74
    110.38   -28.13    89.68     1.63
    111.79   -27.59    96.47    -6.26
    113.57   -27.22   103.60   -12.02
    112.91   -27.00   102.83   -14.39
    110.99   -25.98    90.61    -6.92
    111.11   -25.64    84.71    -7.64
    110.34   -26.29    79.97    -2.09
    111.08   -21.78    -0.76     1.64
    111.22   -22.18     4.03    -2.47
    111.45   -21.35     7.62     2.47
    111.96   -21.53     1.54    -3.08
    109.98   -21.36     8.68    -0.60
    112.59   -23.44     1.64     1.48
    113.28   -22.54     0.98     1.65
    112.46   -21.38     8.67    -3.83
    112.64   -21.66     3.69    -0.75
    114.13   -22.15     2.22    -4.36
    114.09   -23.53     7.55    -5.69
    113.16   -23.83     3.12    -0.60
    113.78   -23.29     8.17     0.46
    112.73   -23.84     7.88    -2.66
    114.52   -25.94    94.16   -25.30
    114.26   -23.99    14.06   -11.35
    114.91   -23.19     5.97    -8.18
    114.47   -24.19    14.08    -6.23
    113.43   -24.77    30.27   -11.18
    114.59   -24.86    63.55   -30.49
    114.20   -25.39    72.70   -17.95
    115.13   -21.95   -23.16   -25.89
    116.03   -22.34    -3.82   -16.91
    115.62   -23.52    10.78   -19.94
    115.39   -23.93    17.44   -17.46
    115.50   -24.13    27.34   -23.87
    116.65   -24.27    63.13   -54.84
    117.01   -23.65    33.09   -43.32
    117.10   -22.53     6.77   -31.92
    116.43   -21.08    -6.51   -13.03
    116.11   -20.52     0.03    -7.39
    112.26   -22.14     2.07    -3.91
    112.37   -22.58     2.54    -1.67
    112.86   -22.49     1.14    -1.26
    112.52   -19.75   -57.78    -9.53
    113.10   -20.15   -52.82   -15.27
    113.40   -20.18   -48.98   -13.67
    108.43   -19.52   -61.02     1.60
    107.43   -20.89    -8.10     1.34
    109.00   -19.74   -49.69     1.28
    109.04   -19.15   -53.28    -5.27
    110.80   -19.30   -69.12    -3.30
    110.66   -18.19  -107.38    -8.93
    110.62   -17.84  -110.71    -8.15
    110.47   -18.70  -101.81    -5.08
    112.84   -12.68   -18.51   -16.31
    111.49   -13.93   -14.32    -3.81
    110.01   -13.07   -13.77     6.25
    109.26   -14.11   -51.87    -2.44
    111.54   -15.02   -64.50   -10.21
    112.59   -16.06   -80.11   -16.75
    109.62   -16.17   -86.37    -3.83
    106.40   -14.78   -44.57     4.29
    110.38   -17.89  -115.95    -8.88
    112.05   -18.23  -105.13   -13.59
    107.48   -19.77   -47.04    -7.49
    105.99   -15.45   -44.39     9.08
    110.33   -19.79   -55.95    -2.52
    106.37   -19.93   -58.85     7.85
    101.90   -15.97   -52.23    24.62
    104.70   -15.00   -53.83    14.71
    105.62   -14.56   -48.50    10.07
    102.82   -18.10   -77.31    35.24
    102.38   -18.01   -76.48    35.47
    102.12   -18.02   -75.31    36.01
    101.61   -18.05   -76.95    40.22
    101.62   -20.80   -18.92    32.40
    105.26   -20.11   -37.53    -4.01
    105.06   -18.44   -83.37     8.28
    101.85   -19.18   -79.29    53.64
    101.62   -16.44   -54.87    24.89
    102.33   -16.10   -50.42    17.80
    104.32   -14.57   -56.17    13.02
    107.57   -14.47   -42.16     0.05
    108.85   -14.34   -48.60     5.68
    106.74   -17.10   -85.79    10.40
    105.79   -19.45   -48.42     2.96
    104.06   -22.28   -19.11    35.97
    104.25   -24.16    32.77    11.59
    105.10   -24.69    41.62     6.84
    105.62   -24.73    40.15     5.29
    104.69   -23.02    11.93    -6.65
    105.98   -24.69    45.17     5.54
    101.17   -21.31   -25.16    53.76
    100.53   -20.98   -13.99    40.49
    101.44   -24.50    59.58    65.83
    102.89   -22.54    -4.41    39.92
    115.33   -15.20   -44.94   -23.27
    113.53   -13.77   -18.80    -9.13
    115.61   -15.99   -51.99   -18.34
    118.63   -21.98     0.59   -45.61
    118.23   -20.28   -23.40   -31.85
    117.07   -18.59   -62.38   -35.61
    114.98   -17.81   -76.45   -24.76
    114.39   -17.44   -81.68   -29.51
    103.08   -20.78   -53.97    36.77
     99.46   -25.50    51.86    25.18
    100.05   -20.32   -28.75    40.54
     98.48   -17.64   -88.98    38.71
    114.75   -24.11    41.76   -33.99
    114.96   -23.16     7.64   -24.09
    114.89   -23.80    24.36   -35.67
    115.00   -24.77    53.29   -31.56
    115.40   -24.23    44.77   -38.35
    116.68   -20.63   -64.20   -78.57
    113.74   -21.17   -35.38   -19.88
    113.10   -20.91   -32.37   -11.91
    111.18   -21.40     7.50    -4.60
    111.45   -21.77     7.93    -6.19
    112.23   -17.30   -89.17   -17.71
    114.56   -19.81   -69.45   -40.11
    119.73   -23.89    17.06   -23.97
    118.70   -22.40    10.20    -3.31
    115.34   -19.98   -22.49   -31.23
    113.79   -20.01   -70.16   -27.15
    114.73   -20.28   -74.77   -40.89
    112.50   -24.02     3.82     0.70
    112.13   -24.11     4.99    -1.46
    111.81   -24.22     9.35    -7.04
    111.30   -24.42    11.25    -7.60
    113.24   -23.90     0.18    -2.52
    112.35   -24.22     4.26    -3.19
    117.13   -21.09   -46.09   -86.06
    116.30   -24.27    57.16   -51.77
    115.18   -25.28    44.22   -19.25
    114.91   -24.03    34.44   -40.80
    114.74   -23.99    30.17   -31.84
    114.46   -24.76    55.53   -32.06
    114.27   -25.01    63.30   -27.78
    116.55   -20.29   -71.05   -69.59
    116.53   -20.05   -74.04   -67.29
    116.31   -19.92   -83.77   -64.41
    113.68   -21.11   -28.26   -19.63
    111.95   -20.76   -28.07    -8.31
    109.99   -21.43     4.81    -2.39
    110.32   -21.44     2.28    -4.53
    110.51   -21.83     3.62     0.33
    111.84   -21.73    -2.21    -7.92
    111.95   -21.45    -9.65   -10.52
    112.21   -21.85    -3.46    -7.82
    111.31   -21.85     3.06    -3.27
    111.63   -22.13    -0.39   -10.17
    112.06   -21.57    -3.24   -13.81
    112.38   -21.99    -6.46    -0.74
