  Velocity data for Jupiter's White Oval BC.  The data correspond to
  Figure 4 of Dowling and Ingersoll (1988, J. Atmos. Sci. 45, 1380-1396).
  The zero of longitude corresponds to System III on 4 March 1979.

     wlon     glat    u(m/s)    v(m/s)
     67.57   -32.41   -24.98    46.06
     68.29   -31.97   -61.54    70.78
     72.10   -37.69    11.54     8.64
     72.42   -38.13    -1.28     4.41
     70.38   -38.81    -1.90    18.57
     68.87   -38.85     9.03    -5.42
     72.31   -37.48     9.68    -3.56
     71.86   -36.12    36.08    10.39
     68.35   -38.85     0.00    10.74
     67.66   -38.01    -7.14   -43.60
     67.88   -38.26    30.25    -4.28
     66.83   -37.89   -44.75   -22.95
     66.47   -37.17    94.53    14.36
     67.78   -36.89    50.66    22.09
     67.97   -37.53    59.93    34.88
     67.78   -38.91     1.80    -6.54
     67.90   -38.58    14.10     9.31
     66.43   -37.48    88.53    15.62
     69.49   -36.58   107.20    18.37
     70.48   -37.10    33.27     3.95
     69.57   -38.05    25.34    32.01
     67.01   -38.53     3.92     8.06
     67.10   -38.07     4.19    -4.06
     67.07   -37.68     9.71    13.73
     67.68   -35.42    65.71    28.17
     66.75   -34.24    29.12    41.94
     66.53   -34.56    29.63    25.95
     67.58   -34.68    53.59    64.88
     66.08   -34.12    17.80    26.16
     65.76   -35.05    33.97    17.38
     66.10   -34.81    23.66    22.55
     65.50   -35.04    31.01    14.13
     65.69   -34.76    14.50    25.43
     65.59   -35.73    55.45    15.45
     65.04   -35.78    40.53    11.13
     64.97   -35.15    47.80    -4.85
     65.50   -34.55    14.28    16.86
     66.26   -36.07    51.60    17.43
     66.73   -35.48    48.74    20.24
     67.99   -36.83    42.98     7.28
     66.41   -33.54    -0.62    40.37
     72.71   -35.08    75.20    -7.56
     71.62   -35.10    95.29    13.59
     73.31   -36.40    63.67    -2.34
     72.77   -33.55     4.67     2.96
     73.46   -37.26    60.24    -3.67
     71.97   -37.02    60.26     0.88
     73.45   -33.13   -10.10   -15.26
     72.51   -34.40    45.16    -6.07
     73.40   -34.07    26.85   -21.63
     70.16   -36.59    97.70    18.57
     68.43   -35.49    84.57    47.77
     70.86   -34.25    27.21     6.14
     70.79   -35.12    79.71    17.42
     70.22   -36.33    83.31    16.30
     68.41   -36.51    64.10    20.39
     68.64   -35.96    88.22    25.35
     71.19   -37.05    34.54     5.67
     72.73   -36.40    70.81    -0.64
     69.52   -35.46   121.56    38.33
     71.54   -35.31    86.98     9.04
     69.75   -32.27   -43.31    41.18
     69.31   -32.39   -46.79    44.07
     69.06   -33.03   -23.41    51.62
     69.88   -33.04    -9.27    47.97
     70.98   -32.03   -42.68    16.29
     70.82   -33.10    -7.13    10.22
     70.44   -33.02    -2.50    10.83
     68.97   -34.07    46.36    58.96
     69.26   -33.71    15.24    39.07
     70.61   -33.88    18.52    24.07
     76.40   -32.98   -33.77   -65.06
     76.33   -31.37   -51.01   -43.30
     76.74   -31.68   -58.80   -42.35
     76.35   -30.80   -18.76   -36.50
     76.15   -30.33   -18.09   -30.90
     78.71   -31.35   -17.71   -19.51
     77.25   -30.67    -3.15    -9.99
     76.36   -30.37    -3.05   -27.45
     77.68   -31.04   -14.57   -12.95
     78.26   -32.57   -51.16   -35.23
     78.01   -32.05   -51.10   -38.13
     77.92   -31.43   -31.21   -15.77
     78.48   -31.71   -11.36   -13.93
     78.76   -30.89    -7.08   -14.01
     78.26   -30.73    -9.00    -7.36
     77.23   -32.00   -51.75   -38.82
     77.32   -32.39   -41.59   -38.36
     77.15   -33.00   -21.81   -36.61
     77.47   -33.46    -6.89   -30.06
     75.69   -31.36   -48.36   -52.11
     74.87   -30.43   -31.51   -29.81
     76.65   -30.27    -1.55   -20.04
     79.03   -30.58     8.34    -7.33
     79.10   -34.17   -15.66    -0.94
     77.84   -34.53    -0.31   -20.82
     77.97   -34.07    -2.73   -23.80
     78.22   -33.50   -20.81   -17.59
     78.35   -33.07   -34.67   -28.60
     79.06   -32.61   -33.89    -5.90
     80.21   -32.94   -60.42   -31.66
     80.60   -32.25   -17.65     8.59
     81.77   -32.89   -40.59   -23.97
     82.19   -32.46   -45.75     6.07
     81.02   -33.32   -43.01     2.16
     80.93   -32.59   -40.56     2.92
     81.03   -31.47   -22.46    17.65
     81.33   -31.41   -51.89    -9.12
     80.06   -31.76   -32.86    -3.63
     79.60   -31.39   -15.52    -2.06
     79.95   -34.64    -7.27    -0.21
     79.87   -33.92   -22.17    -0.69
     78.79   -36.26    24.53    -3.17
     80.26   -35.97    31.65    -2.42
     79.85   -36.57    -1.55    -6.28
     79.05   -34.93    -4.90     7.54
     78.55   -34.45    -2.31   -20.13
     77.69   -34.78    14.19   -22.17
     76.80   -34.94     7.47   -16.81
     79.67   -34.39    11.68    -7.85
     79.43   -30.79    -7.77    -7.82
     80.02   -30.68    13.88   -20.37
     81.05   -30.77    -6.60   -14.17
     82.24   -30.83    12.21     4.82
     79.21   -31.79   -30.04     6.30
     77.05   -31.46   -40.00   -33.25
     83.10   -32.01   -33.72    -6.57
     80.76   -35.41    19.74     4.74
     82.03   -33.45   -51.73     2.41
     82.75   -32.74   -42.85     4.11
     83.46   -31.63   -51.52     8.91
     82.25   -31.32   -42.23     4.88
     81.94   -32.08   -33.86    -8.00
     73.47   -35.42   115.91   -22.68
     73.09   -38.93    -9.84     1.33
     71.19   -40.64     6.06    15.00
     70.88   -40.08    12.92    28.03
     72.06   -38.57    -1.91     7.26
     75.48   -39.77     3.04    17.93
     73.86   -40.50    -6.91    -8.71
     73.58   -37.88    25.10    10.43
     74.26   -37.58    22.27    10.78
     74.41   -36.45    76.04    -5.51
     75.30   -37.72    18.17    16.98
     76.34   -37.38    16.01    10.21
     77.45   -37.80    12.47    10.76
     75.96   -38.49    12.85    -2.76
     74.51   -38.96    -2.87     4.57
     72.47   -38.14    13.40     9.48
     72.84   -40.21   -16.29    15.03
     72.56   -40.78    16.45    24.30
     74.90   -38.07    16.76    11.40
     72.08   -37.72    26.68    14.45
     73.78   -37.23    35.21     3.06
     72.85   -38.58    -8.27     5.71
     74.03   -37.93    17.43     9.68
     73.54   -38.20    14.96    -1.57
     71.86   -37.85    30.25    17.12
     73.26   -37.53    31.36     6.98
     73.12   -36.74    83.65     2.96
     75.41   -35.95    75.59   -20.30
     74.93   -36.58    87.27   -19.33
     75.83   -36.17    71.46   -27.22
     76.39   -36.10    49.00    -1.98
     75.94   -37.00    32.06    -2.15
     74.96   -37.35    13.23    -0.38
     74.48   -37.39    11.69     0.09
     71.70   -40.64    11.92    11.65
     74.56   -36.91    66.29    -2.87
     75.56   -37.78    16.08     1.72
     75.42   -40.64     2.77    12.80
     75.58   -40.54     4.35    10.54
     75.53   -40.35     9.86    11.66
     75.96   -40.13    10.75    13.99
     76.91   -39.09    -2.38    -0.44
     76.71   -39.27   -17.95    12.20
     75.86   -39.73     0.87    21.39
     76.49   -39.49   -15.23    -4.06
     73.77   -40.15    -3.59     6.61
     73.78   -39.69    -3.62     8.73
     73.82   -41.25     3.83    18.89
     74.51   -41.09     5.02     4.84
     75.00   -39.80     8.64   -12.19
     75.19   -39.01    -8.46     7.79
     74.91   -38.85     2.88     5.52
     74.68   -38.35    17.24     4.47
     76.75   -38.75   -15.14    22.94
     76.87   -38.58    -3.97    14.05
     77.95   -38.24    -3.35     4.06
     77.28   -38.33     6.88     0.45
     76.24   -37.82    11.62    -9.37
     77.12   -37.52    11.96     2.22
     74.33   -39.78   -20.58    17.59
     73.29   -39.33   -54.01    -1.65
     72.50   -42.20    32.45     3.06
     72.37   -42.47    36.60     2.46
     72.02   -41.43     7.77     5.14
     71.57   -41.65    23.17    12.89
     72.55   -41.20    23.98    20.40
     72.95   -41.22    16.78    18.86
     71.87   -39.51    13.31    -4.73
     72.93   -42.48    29.02     1.02
     74.37   -39.29   -20.85    11.09
     74.75   -39.16   -28.32     8.80
     72.61   -38.92    -4.10     6.96
     71.76   -38.71    -1.61     3.51
     78.65   -37.99    -0.19    -7.95
     78.14   -37.71    -5.54     4.49
     77.61   -36.30    42.20     6.79
     78.17   -36.36    36.13    -3.40
     76.97   -35.80    50.39    -5.17
     78.68   -36.50    38.48     5.08
     76.47   -36.92    31.24     0.68
     77.87   -37.30    14.93     5.24
     78.16   -38.75    -4.50    15.56
     78.25   -39.10     5.98    17.62
     77.40   -39.60     0.05     7.79
     76.83   -39.93   -17.31    13.06
     75.26   -41.22    11.92     2.23
     74.69   -41.94    39.55   -11.09
     79.65   -37.65    13.33     2.59
     79.74   -37.50     4.82     2.94
     78.57   -38.26     0.06     6.27
     78.21   -38.35     5.01     3.74
     77.94   -39.27   -13.44    23.11
     78.86   -37.52   -25.00     6.42
     74.10   -36.94    69.96     3.87
     74.74   -36.03    71.67   -15.62
     76.62   -35.83    48.25    -8.45
     74.11   -36.22    63.60   -11.08
     71.66   -32.80    -4.90     0.00
     75.93   -33.72    26.11   -87.65
     75.40   -33.60    11.66  -104.61
     75.20   -33.19    -8.12   -84.81
     74.96   -33.35   -10.05   -82.37
     75.60   -32.69   -21.97   -65.03
     75.29   -32.97   -24.61   -86.37
     75.38   -33.97    41.32  -104.03
     75.09   -32.63   -32.14   -87.09
     74.33   -32.63   -32.41   -61.36



