Note about Orton's Jupiter temperature profile.  It is a digitization of the 
radio occultation profiles published by Lindal.  Those profiles don't agree 
with each other because there are large amplitude oscillations (waves) that 
have different phases and different amplitudes at different locations.  Also, 
I do not know whether Orton's profile has a moist adiabat tacked on at the 
bottom, but I suspect it does not.  This would be easy to check -- just see 
if T is varying as a dry adiabat:  P^{\kappa} where \kappa is (\gamma - 
1)/\gamma. 

Andy

*******************************************************************************

From:	SMTP%"go@orton.Jpl.Nasa.Gov"  2-AUG-1994 11:46:01.03
To:	API
CC:	
Subj:	

Date: Tue, 02 Aug 1994 11:46:20 +0800
  1.38390E+02 1.58490E-03 1.63333E+02 2.63980E-07 2.73740E-10 3.05226E+00 1.48727E+00
  1.44370E+02 1.25890E-03 1.64167E+02 2.08620E-07 2.17440E-10 3.05603E+00 1.48637E+00
  1.50390E+02 1.00000E-03 1.65000E+02 1.64880E-07 1.72720E-10 3.05977E+00 1.48549E+00
  1.56440E+02 7.94330E-04 1.65833E+02 1.30310E-07 1.37200E-10 3.06347E+00 1.48462E+00
  1.62520E+02 6.30960E-04 1.66667E+02 1.02990E-07 1.08980E-10 3.06715E+00 1.48376E+00
  1.68640E+02 5.01190E-04 1.67500E+02 8.14010E-08 8.65660E-11 3.07080E+00 1.48291E+00
  1.74780E+02 3.98110E-04 1.68333E+02 6.43390E-08 6.87610E-11 3.07441E+00 1.48206E+00
  1.80960E+02 3.16230E-04 1.69167E+02 5.08540E-08 5.46190E-11 3.07800E+00 1.48123E+00
  1.87170E+02 2.51190E-04 1.70000E+02 4.01970E-08 4.33860E-11 3.08155E+00 1.48041E+00
  1.93410E+02 1.99530E-04 1.70833E+02 3.17740E-08 3.44620E-11 3.08507E+00 1.47960E+00
  1.99680E+02 1.58490E-04 1.71667E+02 2.51160E-08 2.73740E-11 3.08857E+00 1.47880E+00
  2.05980E+02 1.25890E-04 1.72500E+02 1.98540E-08 2.17440E-11 3.09203E+00 1.47800E+00
  2.12320E+02 1.00000E-04 1.73333E+02 1.56950E-08 1.72720E-11 3.09546E+00 1.47722E+00
  2.18680E+02 7.94330E-05 1.74167E+02 1.24070E-08 1.37200E-11 3.09886E+00 1.47645E+00
  2.25080E+02 6.30960E-05 1.75000E+02 9.80860E-09 1.08980E-11 3.10223E+00 1.47568E+00
  2.31520E+02 5.01190E-05 1.75833E+02 7.75430E-09 8.65660E-12 3.10557E+00 1.47493E+00
  2.37980E+02 3.98110E-05 1.76667E+02 6.13040E-09 6.87610E-12 3.10888E+00 1.47418E+00
  2.44470E+02 3.16230E-05 1.77500E+02 4.84670E-09 5.46190E-12 3.11216E+00 1.47345E+00
  2.51000E+02 2.51190E-05 1.78333E+02 3.83190E-09 4.33860E-12 3.11541E+00 1.47272E+00
  2.57560E+02 1.99530E-05 1.79167E+02 3.02960E-09 3.44620E-12 3.11863E+00 1.47200E+00
  2.64150E+02 1.58490E-05 1.80000E+02 2.39540E-09 2.73740E-12 3.12182E+00 1.47129E+00
  2.70770E+02 1.25890E-05 1.80833E+02 1.89390E-09 2.17440E-12 3.12497E+00 1.47059E+00
  2.77430E+02 1.00000E-05 1.81667E+02 1.49750E-09 1.72720E-12 3.12810E+00 1.46990E+00
  2.84110E+02 7.94330E-06 1.82500E+02 1.18410E-09 1.37200E-12 3.13119E+00 1.46922E+00
  2.90830E+02 6.30960E-06 1.83333E+02 9.36270E-10 1.08980E-12 3.13426E+00 1.46855E+00
  2.97580E+02 5.01190E-06 1.84167E+02 7.40340E-10 8.65660E-13 3.13729E+00 1.46788E+00
  3.04370E+02 3.98110E-06 1.85000E+02 5.85430E-10 6.87610E-13 3.14030E+00 1.46723E+00
  3.11180E+02 3.16230E-06 1.85833E+02 4.62930E-10 5.46190E-13 3.14327E+00 1.46658E+00
  3.18030E+02 2.51190E-06 1.86667E+02 3.66080E-10 4.33860E-13 3.14621E+00 1.46594E+00
  3.24910E+02 1.99530E-06 1.87500E+02 2.89500E-10 3.44620E-13 3.14912E+00 1.46531E+00
  3.31820E+02 1.58490E-06 1.88333E+02 2.28940E-10 2.73740E-13 3.15200E+00 1.46468E+00
  3.38770E+02 1.25890E-06 1.89167E+02 1.81050E-10 2.17440E-13 3.15486E+00 1.46407E+00
  3.45740E+02 1.00000E-06 1.90000E+02 1.43180E-10 1.72720E-13 3.15768E+00 1.46346E+00
  3.52810E+02 7.94330E-07 1.94000E+02 1.11390E-10 1.37203E-13 3.17079E+00 1.46066E+00
  3.60020E+02 6.30960E-07 1.98000E+02 8.66920E-11 1.08980E-13 3.18319E+00 1.45804E+00
  3.67390E+02 5.01190E-07 2.02000E+02 6.74980E-11 8.65660E-14 3.19534E+00 1.45551E+00
  3.74900E+02 3.98110E-07 2.06000E+02 5.25750E-11 6.87610E-14 3.20732E+00 1.45304E+00
  3.82570E+02 3.16230E-07 2.10000E+02 4.09660E-11 5.46190E-14 3.21874E+00 1.45071E+00
  3.90440E+02 2.51190E-07 2.17167E+02 3.14670E-11 4.33860E-14 3.23777E+00 1.44687E+00
  3.98570E+02 1.99530E-07 2.24333E+02 2.41960E-11 3.44620E-14 3.25497E+00 1.44346E+00
  4.06980E+02 1.58490E-07 2.31500E+02 1.86250E-11 2.73740E-14 3.27036E+00 1.44046E+00
  4.15650E+02 1.25890E-07 2.38667E+02 1.43500E-11 2.17440E-14 3.28391E+00 1.43785E+00
  4.24580E+02 1.00000E-07 2.45833E+02 1.10660E-11 1.72720E-14 3.29564E+00 1.43561E+00
  4.33790E+02 7.94330E-08 2.53000E+02 8.54130E-12 1.37200E-14 3.30606E+00 1.43364E+00
  4.43260E+02 6.30960E-08 2.60167E+02 6.59770E-12 1.08980E-14 3.31607E+00 1.43177E+00
  4.53000E+02 5.01190E-08 2.67333E+02 5.10020E-12 8.65660E-15 3.32527E+00 1.43006E+00
  4.63000E+02 3.98110E-08 2.74500E+02 3.94550E-12 6.87610E-15 3.33367E+00 1.42851E+00
  4.73280E+02 3.16230E-08 2.81667E+02 3.05430E-12 5.46190E-15 3.34125E+00 1.42712E+00
  4.83820E+02 2.51190E-08 2.88833E+02 2.36590E-12 4.33860E-15 3.34803E+00 1.42589E+00
  4.94630E+02 1.99530E-08 2.96000E+02 1.83380E-12 3.44620E-15 3.35400E+00 1.42481E+00
  5.05710E+02 1.58490E-08 3.03167E+02 1.42220E-12 2.73740E-15 3.35903E+00 1.42390E+00
  5.17060E+02 1.25890E-08 3.10333E+02 1.10360E-12 2.17440E-15 3.36344E+00 1.42311E+00
  5.28680E+02 1.00000E-08 3.17500E+02 8.56840E-13 1.72720E-15 3.36756E+00 1.42238E+00
  5.40570E+02 7.94330E-09 3.24667E+02 6.65590E-13 1.37200E-15 3.37137E+00 1.42170E+00
  5.52730E+02 6.30960E-09 3.31833E+02 5.17280E-13 1.08980E-15 3.37488E+00 1.42107E+00
  5.65160E+02 5.01190E-09 3.39000E+02 4.02200E-13 8.65660E-16 3.37809E+00 1.42051E+00
  5.77860E+02 3.98110E-09 3.46167E+02 3.12870E-13 6.87610E-16 3.38099E+00 1.41999E+00
  5.90830E+02 3.16230E-09 3.53333E+02 2.43480E-13 5.46190E-16 3.38359E+00 1.41953E+00
  6.04070E+02 2.51190E-09 3.60500E+02 1.89560E-13 4.33860E-16 3.38589E+00 1.41913E+00
  6.17590E+02 1.99530E-09 3.67667E+02 1.47630E-13 3.44620E-16 3.38789E+00 1.41878E+00
  6.31370E+02 1.58490E-09 3.74833E+02 1.15030E-13 2.73740E-16 3.38958E+00 1.41848E+00
  6.45430E+02 1.25890E-09 3.82000E+02 8.96560E-14 2.17440E-16 3.39098E+00 1.41824E+00
  6.59760E+02 1.00000E-09 3.89167E+02 6.99050E-14 1.72720E-16 3.39206E+00 1.41805E+00
  6.74370E+02 7.94330E-10 3.96333E+02 5.45230E-14 1.37200E-16 3.39285E+00 1.41791E+00
  6.89250E+02 6.30960E-10 4.03500E+02 4.25400E-14 1.08980E-16 3.39343E+00 1.41781E+00
  7.04400E+02 5.01190E-10 4.10667E+02 3.32010E-14 8.65660E-17 3.39403E+00 1.41770E+00
  7.19830E+02 3.98110E-10 4.17833E+02 2.59200E-14 6.87610E-17 3.39463E+00 1.41760E+00
  7.35530E+02 3.16230E-10 4.25000E+02 2.02420E-14 5.46190E-17 3.39523E+00 1.41750E+00
  7.51970E+02 2.51190E-10 4.56944E+02 1.49550E-14 4.33860E-17 3.39782E+00 1.41705E+00
  7.69610E+02 1.99530E-10 4.88889E+02 1.11030E-14 3.44620E-17 3.40032E+00 1.41661E+00
  7.88450E+02 1.58490E-10 5.20833E+02 8.27840E-15 2.73740E-17 3.40273E+00 1.41619E+00
  8.08500E+02 1.25890E-10 5.52778E+02 6.19570E-15 2.17440E-17 3.40505E+00 1.41579E+00
  8.29750E+02 1.00000E-10 5.84722E+02 4.65260E-15 1.72720E-17 3.40728E+00 1.41541E+00
  8.52220E+02 7.94330E-11 6.16667E+02 3.50420E-15 1.37200E-17 3.40979E+00 1.41497E+00
  8.75890E+02 6.30960E-11 6.48611E+02 2.64640E-15 1.08980E-17 3.41322E+00 1.41438E+00
  9.00790E+02 5.01190E-11 6.80556E+02 2.00350E-15 8.65660E-18 3.41743E+00 1.41366E+00
  9.26890E+02 3.98110E-11 7.12500E+02 1.52010E-15 6.87610E-18 3.42241E+00 1.41281E+00
  9.54220E+02 3.16230E-11 7.44444E+02 1.15560E-15 5.46190E-18 3.42816E+00 1.41183E+00
  9.82780E+02 2.51190E-11 7.76389E+02 8.80160E-16 4.33860E-18 3.43469E+00 1.41073E+00
  1.01256E+03 1.99530E-11 8.08333E+02 6.71510E-16 3.44620E-18 3.44199E+00 1.40950E+00
  1.04358E+03 1.58490E-11 8.40278E+02 5.13120E-16 2.73740E-18 3.45006E+00 1.40815E+00
  1.07582E+03 1.25890E-11 8.72222E+02 3.92660E-16 2.17440E-18 3.45891E+00 1.40668E+00
  1.10931E+03 1.00000E-11 9.04167E+02 3.00880E-16 1.72720E-18 3.46854E+00 1.40510E+00

